parent_uid	child_uid	child_asset_type
L0C04FPG7	L0C04FMF6	.jpg.ldcc
L0C04FPG7	L0C04FMEP	.jpg.ldcc
L0C04FPG7	L0C04FMEN	.jpg.ldcc
L0C04FPG7	L0C04FMEY	.jpg.ldcc
L0C04FPG7	L0C04FMF0	.jpg.ldcc
L0C04FPG7	L0C04FMFH	.jpg.ldcc
L0C04FPG7	L0C04FMFG	.jpg.ldcc
L0C04FPG7	L0C04FMEO	.jpg.ldcc
L0C04FPG7	L0C04FMEQ	.jpg.ldcc
L0C04FPG7	L0C04FMF7	.jpg.ldcc
L0C04FPG7	L0C04FPK2	.ltf.xml
L0C04FPG7	L0C04FMF8	.png.ldcc
L0C04FPG7	L0C04FQ8S	.jpg.ldcc
L0C04FPG7	L0C04FQ8R	.jpg.ldcc
L0C04FPG7	L0C04FQ8U	.jpg.ldcc
L0C04FPG7	L0C04FQ8Y	.jpg.ldcc
L0C04FPG7	L0C04FQ8W	.jpg.ldcc
L0C04FPG7	L0C04FQ8P	.jpg.ldcc
L0C04FPG7	L0C04FQ8N	.jpg.ldcc
L0C04FPG7	L0C04FQCJ	.ltf.xml
L0C04FPG7	L0C04FQ8T	.png.ldcc
L0C04FPG7	L0C04FQ8Q	.png.ldcc
L0C04FPG7	L0C04FQ8X	.png.ldcc
L0C04FPG7	L0C04FPBC	.jpg.ldcc
L0C04FPG7	L0C04FPBB	.jpg.ldcc
L0C04FPG7	L0C04FPBE	.jpg.ldcc
L0C04FPG7	L0C04FPB9	.jpg.ldcc
L0C04FPG7	L0C04FPBG	.jpg.ldcc
L0C04FPG7	L0C04FPB8	.jpg.ldcc
L0C04FPG7	L0C04FQFV	.ltf.xml
L0C04FPG7	L0C04FPBD	.png.ldcc
L0C04FPG7	L0C04FPBA	.png.ldcc
L0C04FPG7	L0C04FOGS	.jpg.ldcc
L0C04FPG7	L0C04FOGM	.jpg.ldcc
L0C04FPG7	L0C04FOGJ	.jpg.ldcc
L0C04FPG7	L0C04FOGR	.jpg.ldcc
L0C04FPG7	L0C04FOGK	.jpg.ldcc
L0C04FPG7	L0C04FOGO	.jpg.ldcc
L0C04FPG7	L0C04FOGQ	.jpg.ldcc
L0C04FPG7	L0C04FOG9	.jpg.ldcc
L0C04FPG7	L0C04FQEL	.ltf.xml
L0C04FPG7	L0C04FOGE	.png.ldcc
L0C04FPG7	L0C04FOGC	.png.ldcc
L0C04FPG7	L0C04FOGD	.png.ldcc
L0C04FPG7	L0C04FOGG	.png.ldcc
L0C04FPHU	L0C04FOG8	.png.ldcc
L0C04FPHU	L0C04FOGF	.png.ldcc
L0C04FPHU	L0C04FOG6	.png.ldcc
L0C04FPHU	L0C04FOGA	.png.ldcc
L0C04FQ13	L0C04FOM4	.jpg.ldcc
L0C04FQ1F	L0C04FOM2	.jpg.ldcc
L0C04FQ1H	L0C04FQES	.ltf.xml
L0C04FQ1H	L0C04FOLX	.mp4.ldcc
L0C04FQ1H	L0C04FPI2	.jpg.ldcc
L0C04FQ1H	L0C04FQG6	.ltf.xml
L0C04FQ1H	L0C04FPHY	.png.ldcc
L0C04FQ8L	K0C0424CJ	.jpg.ldcc
L0C04FQ8L	L0C04FMGD	.jpg.ldcc
L0C04FQ8L	L0C04FMGE	.jpg.ldcc
